month_start,medicine_code,medicine_name,quantity_dispensed,data_source
2021-06-01,SYN-MED-001,Paracetamol 500 mg Tablet,654,SYNTHETIC_DEVELOPMENT_DATA
2021-06-01,SYN-MED-002,Oral Rehydration Salts Sachet,238,SYNTHETIC_DEVELOPMENT_DATA
2021-06-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,366,SYNTHETIC_DEVELOPMENT_DATA
2021-06-01,SYN-MED-004,Cetirizine 10 mg Tablet,278,SYNTHETIC_DEVELOPMENT_DATA
2021-06-01,SYN-MED-005,Amoxicillin 500 mg Capsule,183,SYNTHETIC_DEVELOPMENT_DATA
2021-06-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,154,SYNTHETIC_DEVELOPMENT_DATA
2021-07-01,SYN-MED-001,Paracetamol 500 mg Tablet,530,SYNTHETIC_DEVELOPMENT_DATA
2021-07-01,SYN-MED-002,Oral Rehydration Salts Sachet,241,SYNTHETIC_DEVELOPMENT_DATA
2021-07-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,340,SYNTHETIC_DEVELOPMENT_DATA
2021-07-01,SYN-MED-004,Cetirizine 10 mg Tablet,254,SYNTHETIC_DEVELOPMENT_DATA
2021-07-01,SYN-MED-005,Amoxicillin 500 mg Capsule,214,SYNTHETIC_DEVELOPMENT_DATA
2021-07-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,134,SYNTHETIC_DEVELOPMENT_DATA
2021-08-01,SYN-MED-001,Paracetamol 500 mg Tablet,508,SYNTHETIC_DEVELOPMENT_DATA
2021-08-01,SYN-MED-002,Oral Rehydration Salts Sachet,203,SYNTHETIC_DEVELOPMENT_DATA
2021-08-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,385,SYNTHETIC_DEVELOPMENT_DATA
2021-08-01,SYN-MED-004,Cetirizine 10 mg Tablet,213,SYNTHETIC_DEVELOPMENT_DATA
2021-08-01,SYN-MED-005,Amoxicillin 500 mg Capsule,201,SYNTHETIC_DEVELOPMENT_DATA
2021-08-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,152,SYNTHETIC_DEVELOPMENT_DATA
2021-09-01,SYN-MED-001,Paracetamol 500 mg Tablet,461,SYNTHETIC_DEVELOPMENT_DATA
2021-09-01,SYN-MED-002,Oral Rehydration Salts Sachet,210,SYNTHETIC_DEVELOPMENT_DATA
2021-09-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,454,SYNTHETIC_DEVELOPMENT_DATA
2021-09-01,SYN-MED-004,Cetirizine 10 mg Tablet,226,SYNTHETIC_DEVELOPMENT_DATA
2021-09-01,SYN-MED-005,Amoxicillin 500 mg Capsule,211,SYNTHETIC_DEVELOPMENT_DATA
2021-09-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,156,SYNTHETIC_DEVELOPMENT_DATA
2021-10-01,SYN-MED-001,Paracetamol 500 mg Tablet,436,SYNTHETIC_DEVELOPMENT_DATA
2021-10-01,SYN-MED-002,Oral Rehydration Salts Sachet,243,SYNTHETIC_DEVELOPMENT_DATA
2021-10-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,496,SYNTHETIC_DEVELOPMENT_DATA
2021-10-01,SYN-MED-004,Cetirizine 10 mg Tablet,214,SYNTHETIC_DEVELOPMENT_DATA
2021-10-01,SYN-MED-005,Amoxicillin 500 mg Capsule,231,SYNTHETIC_DEVELOPMENT_DATA
2021-10-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,194,SYNTHETIC_DEVELOPMENT_DATA
2021-11-01,SYN-MED-001,Paracetamol 500 mg Tablet,431,SYNTHETIC_DEVELOPMENT_DATA
2021-11-01,SYN-MED-002,Oral Rehydration Salts Sachet,271,SYNTHETIC_DEVELOPMENT_DATA
2021-11-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,515,SYNTHETIC_DEVELOPMENT_DATA
2021-11-01,SYN-MED-004,Cetirizine 10 mg Tablet,310,SYNTHETIC_DEVELOPMENT_DATA
2021-11-01,SYN-MED-005,Amoxicillin 500 mg Capsule,277,SYNTHETIC_DEVELOPMENT_DATA
2021-11-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,183,SYNTHETIC_DEVELOPMENT_DATA
2021-12-01,SYN-MED-001,Paracetamol 500 mg Tablet,549,SYNTHETIC_DEVELOPMENT_DATA
2021-12-01,SYN-MED-002,Oral Rehydration Salts Sachet,346,SYNTHETIC_DEVELOPMENT_DATA
2021-12-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,498,SYNTHETIC_DEVELOPMENT_DATA
2021-12-01,SYN-MED-004,Cetirizine 10 mg Tablet,321,SYNTHETIC_DEVELOPMENT_DATA
2021-12-01,SYN-MED-005,Amoxicillin 500 mg Capsule,267,SYNTHETIC_DEVELOPMENT_DATA
2021-12-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,183,SYNTHETIC_DEVELOPMENT_DATA
2022-01-01,SYN-MED-001,Paracetamol 500 mg Tablet,491,SYNTHETIC_DEVELOPMENT_DATA
2022-01-01,SYN-MED-002,Oral Rehydration Salts Sachet,326,SYNTHETIC_DEVELOPMENT_DATA
2022-01-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,450,SYNTHETIC_DEVELOPMENT_DATA
2022-01-01,SYN-MED-004,Cetirizine 10 mg Tablet,378,SYNTHETIC_DEVELOPMENT_DATA
2022-01-01,SYN-MED-005,Amoxicillin 500 mg Capsule,280,SYNTHETIC_DEVELOPMENT_DATA
2022-01-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,216,SYNTHETIC_DEVELOPMENT_DATA
2022-02-01,SYN-MED-001,Paracetamol 500 mg Tablet,591,SYNTHETIC_DEVELOPMENT_DATA
2022-02-01,SYN-MED-002,Oral Rehydration Salts Sachet,300,SYNTHETIC_DEVELOPMENT_DATA
2022-02-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,449,SYNTHETIC_DEVELOPMENT_DATA
2022-02-01,SYN-MED-004,Cetirizine 10 mg Tablet,332,SYNTHETIC_DEVELOPMENT_DATA
2022-02-01,SYN-MED-005,Amoxicillin 500 mg Capsule,230,SYNTHETIC_DEVELOPMENT_DATA
2022-02-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,201,SYNTHETIC_DEVELOPMENT_DATA
2022-03-01,SYN-MED-001,Paracetamol 500 mg Tablet,683,SYNTHETIC_DEVELOPMENT_DATA
2022-03-01,SYN-MED-002,Oral Rehydration Salts Sachet,311,SYNTHETIC_DEVELOPMENT_DATA
2022-03-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,433,SYNTHETIC_DEVELOPMENT_DATA
2022-03-01,SYN-MED-004,Cetirizine 10 mg Tablet,358,SYNTHETIC_DEVELOPMENT_DATA
2022-03-01,SYN-MED-005,Amoxicillin 500 mg Capsule,186,SYNTHETIC_DEVELOPMENT_DATA
2022-03-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,196,SYNTHETIC_DEVELOPMENT_DATA
2022-04-01,SYN-MED-001,Paracetamol 500 mg Tablet,671,SYNTHETIC_DEVELOPMENT_DATA
2022-04-01,SYN-MED-002,Oral Rehydration Salts Sachet,269,SYNTHETIC_DEVELOPMENT_DATA
2022-04-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,344,SYNTHETIC_DEVELOPMENT_DATA
2022-04-01,SYN-MED-004,Cetirizine 10 mg Tablet,381,SYNTHETIC_DEVELOPMENT_DATA
2022-04-01,SYN-MED-005,Amoxicillin 500 mg Capsule,179,SYNTHETIC_DEVELOPMENT_DATA
2022-04-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,177,SYNTHETIC_DEVELOPMENT_DATA
2022-05-01,SYN-MED-001,Paracetamol 500 mg Tablet,694,SYNTHETIC_DEVELOPMENT_DATA
2022-05-01,SYN-MED-002,Oral Rehydration Salts Sachet,234,SYNTHETIC_DEVELOPMENT_DATA
2022-05-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,389,SYNTHETIC_DEVELOPMENT_DATA
2022-05-01,SYN-MED-004,Cetirizine 10 mg Tablet,325,SYNTHETIC_DEVELOPMENT_DATA
2022-05-01,SYN-MED-005,Amoxicillin 500 mg Capsule,167,SYNTHETIC_DEVELOPMENT_DATA
2022-05-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,147,SYNTHETIC_DEVELOPMENT_DATA
2022-06-01,SYN-MED-001,Paracetamol 500 mg Tablet,596,SYNTHETIC_DEVELOPMENT_DATA
2022-06-01,SYN-MED-002,Oral Rehydration Salts Sachet,241,SYNTHETIC_DEVELOPMENT_DATA
2022-06-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,383,SYNTHETIC_DEVELOPMENT_DATA
2022-06-01,SYN-MED-004,Cetirizine 10 mg Tablet,304,SYNTHETIC_DEVELOPMENT_DATA
2022-06-01,SYN-MED-005,Amoxicillin 500 mg Capsule,206,SYNTHETIC_DEVELOPMENT_DATA
2022-06-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,158,SYNTHETIC_DEVELOPMENT_DATA
2022-07-01,SYN-MED-001,Paracetamol 500 mg Tablet,561,SYNTHETIC_DEVELOPMENT_DATA
2022-07-01,SYN-MED-002,Oral Rehydration Salts Sachet,216,SYNTHETIC_DEVELOPMENT_DATA
2022-07-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,309,SYNTHETIC_DEVELOPMENT_DATA
2022-07-01,SYN-MED-004,Cetirizine 10 mg Tablet,289,SYNTHETIC_DEVELOPMENT_DATA
2022-07-01,SYN-MED-005,Amoxicillin 500 mg Capsule,202,SYNTHETIC_DEVELOPMENT_DATA
2022-07-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,131,SYNTHETIC_DEVELOPMENT_DATA
2022-08-01,SYN-MED-001,Paracetamol 500 mg Tablet,518,SYNTHETIC_DEVELOPMENT_DATA
2022-08-01,SYN-MED-002,Oral Rehydration Salts Sachet,192,SYNTHETIC_DEVELOPMENT_DATA
2022-08-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,417,SYNTHETIC_DEVELOPMENT_DATA
2022-08-01,SYN-MED-004,Cetirizine 10 mg Tablet,249,SYNTHETIC_DEVELOPMENT_DATA
2022-08-01,SYN-MED-005,Amoxicillin 500 mg Capsule,233,SYNTHETIC_DEVELOPMENT_DATA
2022-08-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,145,SYNTHETIC_DEVELOPMENT_DATA
2022-09-01,SYN-MED-001,Paracetamol 500 mg Tablet,361,SYNTHETIC_DEVELOPMENT_DATA
2022-09-01,SYN-MED-002,Oral Rehydration Salts Sachet,232,SYNTHETIC_DEVELOPMENT_DATA
2022-09-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,411,SYNTHETIC_DEVELOPMENT_DATA
2022-09-01,SYN-MED-004,Cetirizine 10 mg Tablet,254,SYNTHETIC_DEVELOPMENT_DATA
2022-09-01,SYN-MED-005,Amoxicillin 500 mg Capsule,234,SYNTHETIC_DEVELOPMENT_DATA
2022-09-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,165,SYNTHETIC_DEVELOPMENT_DATA
2022-10-01,SYN-MED-001,Paracetamol 500 mg Tablet,472,SYNTHETIC_DEVELOPMENT_DATA
2022-10-01,SYN-MED-002,Oral Rehydration Salts Sachet,260,SYNTHETIC_DEVELOPMENT_DATA
2022-10-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,474,SYNTHETIC_DEVELOPMENT_DATA
2022-10-01,SYN-MED-004,Cetirizine 10 mg Tablet,251,SYNTHETIC_DEVELOPMENT_DATA
2022-10-01,SYN-MED-005,Amoxicillin 500 mg Capsule,260,SYNTHETIC_DEVELOPMENT_DATA
2022-10-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,215,SYNTHETIC_DEVELOPMENT_DATA
2022-11-01,SYN-MED-001,Paracetamol 500 mg Tablet,440,SYNTHETIC_DEVELOPMENT_DATA
2022-11-01,SYN-MED-002,Oral Rehydration Salts Sachet,317,SYNTHETIC_DEVELOPMENT_DATA
2022-11-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,413,SYNTHETIC_DEVELOPMENT_DATA
2022-11-01,SYN-MED-004,Cetirizine 10 mg Tablet,274,SYNTHETIC_DEVELOPMENT_DATA
2022-11-01,SYN-MED-005,Amoxicillin 500 mg Capsule,263,SYNTHETIC_DEVELOPMENT_DATA
2022-11-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,207,SYNTHETIC_DEVELOPMENT_DATA
2022-12-01,SYN-MED-001,Paracetamol 500 mg Tablet,512,SYNTHETIC_DEVELOPMENT_DATA
2022-12-01,SYN-MED-002,Oral Rehydration Salts Sachet,302,SYNTHETIC_DEVELOPMENT_DATA
2022-12-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,569,SYNTHETIC_DEVELOPMENT_DATA
2022-12-01,SYN-MED-004,Cetirizine 10 mg Tablet,329,SYNTHETIC_DEVELOPMENT_DATA
2022-12-01,SYN-MED-005,Amoxicillin 500 mg Capsule,241,SYNTHETIC_DEVELOPMENT_DATA
2022-12-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,216,SYNTHETIC_DEVELOPMENT_DATA
2023-01-01,SYN-MED-001,Paracetamol 500 mg Tablet,496,SYNTHETIC_DEVELOPMENT_DATA
2023-01-01,SYN-MED-002,Oral Rehydration Salts Sachet,311,SYNTHETIC_DEVELOPMENT_DATA
2023-01-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,483,SYNTHETIC_DEVELOPMENT_DATA
2023-01-01,SYN-MED-004,Cetirizine 10 mg Tablet,305,SYNTHETIC_DEVELOPMENT_DATA
2023-01-01,SYN-MED-005,Amoxicillin 500 mg Capsule,256,SYNTHETIC_DEVELOPMENT_DATA
2023-01-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,220,SYNTHETIC_DEVELOPMENT_DATA
2023-02-01,SYN-MED-001,Paracetamol 500 mg Tablet,568,SYNTHETIC_DEVELOPMENT_DATA
2023-02-01,SYN-MED-002,Oral Rehydration Salts Sachet,306,SYNTHETIC_DEVELOPMENT_DATA
2023-02-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,457,SYNTHETIC_DEVELOPMENT_DATA
2023-02-01,SYN-MED-004,Cetirizine 10 mg Tablet,341,SYNTHETIC_DEVELOPMENT_DATA
2023-02-01,SYN-MED-005,Amoxicillin 500 mg Capsule,236,SYNTHETIC_DEVELOPMENT_DATA
2023-02-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,221,SYNTHETIC_DEVELOPMENT_DATA
2023-03-01,SYN-MED-001,Paracetamol 500 mg Tablet,625,SYNTHETIC_DEVELOPMENT_DATA
2023-03-01,SYN-MED-002,Oral Rehydration Salts Sachet,320,SYNTHETIC_DEVELOPMENT_DATA
2023-03-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,463,SYNTHETIC_DEVELOPMENT_DATA
2023-03-01,SYN-MED-004,Cetirizine 10 mg Tablet,335,SYNTHETIC_DEVELOPMENT_DATA
2023-03-01,SYN-MED-005,Amoxicillin 500 mg Capsule,177,SYNTHETIC_DEVELOPMENT_DATA
2023-03-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,190,SYNTHETIC_DEVELOPMENT_DATA
2023-04-01,SYN-MED-001,Paracetamol 500 mg Tablet,551,SYNTHETIC_DEVELOPMENT_DATA
2023-04-01,SYN-MED-002,Oral Rehydration Salts Sachet,312,SYNTHETIC_DEVELOPMENT_DATA
2023-04-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,370,SYNTHETIC_DEVELOPMENT_DATA
2023-04-01,SYN-MED-004,Cetirizine 10 mg Tablet,341,SYNTHETIC_DEVELOPMENT_DATA
2023-04-01,SYN-MED-005,Amoxicillin 500 mg Capsule,171,SYNTHETIC_DEVELOPMENT_DATA
2023-04-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,178,SYNTHETIC_DEVELOPMENT_DATA
2023-05-01,SYN-MED-001,Paracetamol 500 mg Tablet,596,SYNTHETIC_DEVELOPMENT_DATA
2023-05-01,SYN-MED-002,Oral Rehydration Salts Sachet,212,SYNTHETIC_DEVELOPMENT_DATA
2023-05-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,354,SYNTHETIC_DEVELOPMENT_DATA
2023-05-01,SYN-MED-004,Cetirizine 10 mg Tablet,299,SYNTHETIC_DEVELOPMENT_DATA
2023-05-01,SYN-MED-005,Amoxicillin 500 mg Capsule,169,SYNTHETIC_DEVELOPMENT_DATA
2023-05-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,157,SYNTHETIC_DEVELOPMENT_DATA
2023-06-01,SYN-MED-001,Paracetamol 500 mg Tablet,533,SYNTHETIC_DEVELOPMENT_DATA
2023-06-01,SYN-MED-002,Oral Rehydration Salts Sachet,258,SYNTHETIC_DEVELOPMENT_DATA
2023-06-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,352,SYNTHETIC_DEVELOPMENT_DATA
2023-06-01,SYN-MED-004,Cetirizine 10 mg Tablet,267,SYNTHETIC_DEVELOPMENT_DATA
2023-06-01,SYN-MED-005,Amoxicillin 500 mg Capsule,188,SYNTHETIC_DEVELOPMENT_DATA
2023-06-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,176,SYNTHETIC_DEVELOPMENT_DATA
2023-07-01,SYN-MED-001,Paracetamol 500 mg Tablet,514,SYNTHETIC_DEVELOPMENT_DATA
2023-07-01,SYN-MED-002,Oral Rehydration Salts Sachet,219,SYNTHETIC_DEVELOPMENT_DATA
2023-07-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,377,SYNTHETIC_DEVELOPMENT_DATA
2023-07-01,SYN-MED-004,Cetirizine 10 mg Tablet,265,SYNTHETIC_DEVELOPMENT_DATA
2023-07-01,SYN-MED-005,Amoxicillin 500 mg Capsule,204,SYNTHETIC_DEVELOPMENT_DATA
2023-07-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,144,SYNTHETIC_DEVELOPMENT_DATA
2023-08-01,SYN-MED-001,Paracetamol 500 mg Tablet,497,SYNTHETIC_DEVELOPMENT_DATA
2023-08-01,SYN-MED-002,Oral Rehydration Salts Sachet,194,SYNTHETIC_DEVELOPMENT_DATA
2023-08-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,352,SYNTHETIC_DEVELOPMENT_DATA
2023-08-01,SYN-MED-004,Cetirizine 10 mg Tablet,276,SYNTHETIC_DEVELOPMENT_DATA
2023-08-01,SYN-MED-005,Amoxicillin 500 mg Capsule,209,SYNTHETIC_DEVELOPMENT_DATA
2023-08-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,161,SYNTHETIC_DEVELOPMENT_DATA
2023-09-01,SYN-MED-001,Paracetamol 500 mg Tablet,405,SYNTHETIC_DEVELOPMENT_DATA
2023-09-01,SYN-MED-002,Oral Rehydration Salts Sachet,230,SYNTHETIC_DEVELOPMENT_DATA
2023-09-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,475,SYNTHETIC_DEVELOPMENT_DATA
2023-09-01,SYN-MED-004,Cetirizine 10 mg Tablet,269,SYNTHETIC_DEVELOPMENT_DATA
2023-09-01,SYN-MED-005,Amoxicillin 500 mg Capsule,257,SYNTHETIC_DEVELOPMENT_DATA
2023-09-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,173,SYNTHETIC_DEVELOPMENT_DATA
2023-10-01,SYN-MED-001,Paracetamol 500 mg Tablet,383,SYNTHETIC_DEVELOPMENT_DATA
2023-10-01,SYN-MED-002,Oral Rehydration Salts Sachet,259,SYNTHETIC_DEVELOPMENT_DATA
2023-10-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,485,SYNTHETIC_DEVELOPMENT_DATA
2023-10-01,SYN-MED-004,Cetirizine 10 mg Tablet,297,SYNTHETIC_DEVELOPMENT_DATA
2023-10-01,SYN-MED-005,Amoxicillin 500 mg Capsule,260,SYNTHETIC_DEVELOPMENT_DATA
2023-10-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,188,SYNTHETIC_DEVELOPMENT_DATA
2023-11-01,SYN-MED-001,Paracetamol 500 mg Tablet,455,SYNTHETIC_DEVELOPMENT_DATA
2023-11-01,SYN-MED-002,Oral Rehydration Salts Sachet,285,SYNTHETIC_DEVELOPMENT_DATA
2023-11-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,483,SYNTHETIC_DEVELOPMENT_DATA
2023-11-01,SYN-MED-004,Cetirizine 10 mg Tablet,300,SYNTHETIC_DEVELOPMENT_DATA
2023-11-01,SYN-MED-005,Amoxicillin 500 mg Capsule,274,SYNTHETIC_DEVELOPMENT_DATA
2023-11-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,220,SYNTHETIC_DEVELOPMENT_DATA
2023-12-01,SYN-MED-001,Paracetamol 500 mg Tablet,512,SYNTHETIC_DEVELOPMENT_DATA
2023-12-01,SYN-MED-002,Oral Rehydration Salts Sachet,292,SYNTHETIC_DEVELOPMENT_DATA
2023-12-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,500,SYNTHETIC_DEVELOPMENT_DATA
2023-12-01,SYN-MED-004,Cetirizine 10 mg Tablet,321,SYNTHETIC_DEVELOPMENT_DATA
2023-12-01,SYN-MED-005,Amoxicillin 500 mg Capsule,251,SYNTHETIC_DEVELOPMENT_DATA
2023-12-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,243,SYNTHETIC_DEVELOPMENT_DATA
2024-01-01,SYN-MED-001,Paracetamol 500 mg Tablet,505,SYNTHETIC_DEVELOPMENT_DATA
2024-01-01,SYN-MED-002,Oral Rehydration Salts Sachet,327,SYNTHETIC_DEVELOPMENT_DATA
2024-01-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,508,SYNTHETIC_DEVELOPMENT_DATA
2024-01-01,SYN-MED-004,Cetirizine 10 mg Tablet,318,SYNTHETIC_DEVELOPMENT_DATA
2024-01-01,SYN-MED-005,Amoxicillin 500 mg Capsule,259,SYNTHETIC_DEVELOPMENT_DATA
2024-01-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,217,SYNTHETIC_DEVELOPMENT_DATA
2024-02-01,SYN-MED-001,Paracetamol 500 mg Tablet,630,SYNTHETIC_DEVELOPMENT_DATA
2024-02-01,SYN-MED-002,Oral Rehydration Salts Sachet,327,SYNTHETIC_DEVELOPMENT_DATA
2024-02-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,519,SYNTHETIC_DEVELOPMENT_DATA
2024-02-01,SYN-MED-004,Cetirizine 10 mg Tablet,386,SYNTHETIC_DEVELOPMENT_DATA
2024-02-01,SYN-MED-005,Amoxicillin 500 mg Capsule,220,SYNTHETIC_DEVELOPMENT_DATA
2024-02-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,219,SYNTHETIC_DEVELOPMENT_DATA
2024-03-01,SYN-MED-001,Paracetamol 500 mg Tablet,618,SYNTHETIC_DEVELOPMENT_DATA
2024-03-01,SYN-MED-002,Oral Rehydration Salts Sachet,317,SYNTHETIC_DEVELOPMENT_DATA
2024-03-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,479,SYNTHETIC_DEVELOPMENT_DATA
2024-03-01,SYN-MED-004,Cetirizine 10 mg Tablet,396,SYNTHETIC_DEVELOPMENT_DATA
2024-03-01,SYN-MED-005,Amoxicillin 500 mg Capsule,190,SYNTHETIC_DEVELOPMENT_DATA
2024-03-01,SYN-MED-006,Zinc Sulfate 20 mg Tablet,196,SYNTHETIC_DEVELOPMENT_DATA
2024-04-01,SYN-MED-001,Paracetamol 500 mg Tablet,574,SYNTHETIC_DEVELOPMENT_DATA
2024-04-01,SYN-MED-002,Oral Rehydration Salts Sachet,263,SYNTHETIC_DEVELOPMENT_DATA
2024-04-01,SYN-MED-003,Ascorbic Acid 500 mg Tablet,376,SYNTHETIC_DEVELOPMENT_DATA
2024-04-01,SYN-MED-004,Cetirizine 10 mg Tablet,362,SYNTHETIC_DEVELOPMENT_DATA
2024-04-01,SYN-MED-005,Amoxicillin 500 mg Capsule,193,SYNTHETIC_DEVELOPMENT_DATA
